cycle,initial_SOC,initial_SOC_minus_SOC_ref,duration_s,final_SOC,mean_speed_kph,max_speed_kph,max_engine_torque_proxy_kNm,engine_switch_count,engine_on_fraction
urban,0.5,-0.05,300,0.565234314665336,19.7046048673342,56.0821921349537,2.67611161850668,16,0.159468438538206
highway,0.5,-0.05,300,0.510974265824102,90.265070236488,101.548951801531,0.423583958398789,5,0.54485049833887
high_load,0.5,-0.05,300,0.503313191068527,64.8,93.5936836840756,0.701937200719583,9,0.518272425249169
low_soc_urban,0.38,-0.17,300,0.554584949559779,19.7046048673342,56.0821921349537,2.71700902403135,17,0.18936877076412
low_soc_high_load,0.38,-0.17,300,0.502783420926184,64.8,93.5936836840756,0.868599635925408,8,0.528239202657807
soc_recovery_test,0.38,-0.17,300,0.507343855390184,58.1897313605835,77.343020959386,0.810949666710557,7,0.431893687707641
high_soc_urban,0.65,0.1,300,0.573868603264102,19.7046048673342,56.0821921349537,2.52808142134054,12,0.0996677740863787
high_soc_highway,0.65,0.1,300,0.510356653184437,90.265070236488,101.548951801531,0.437776539969923,9,0.478405315614618
high_soc_high_load,0.65,0.1,300,0.502550196542984,64.8,93.5936836840756,0.791502677877611,11,0.471760797342193
high_soc_regen,0.65,0.1,300,0.492289888733582,58.2492643569055,93.6,0,0,0
regen,0.5,-0.05,300,0.490572826011988,58.2492643569055,93.6,0.401242335626096,2,0.0498338870431894
stop_go,0.5,-0.05,300,0.549983357234744,23.0232558139535,39.6,1.56666935897335,12,0.219269102990033
udds,0.5,-0.05,1369,0.525243808112379,31.5077076492044,91.251285264,1.46914852880045,36,0.17007299270073
hwfet,0.5,-0.05,765,0.588841416640525,77.5777322373886,96.40126962,1.112760996922,24,0.56266318537859
wltp_like,0.5,-0.05,1800,0.574464007868849,52.8610830396906,122.962265257726,2.08208647106549,28,0.297612437534703
