seed,split,policy,episode_reward,abs_final_SOC_error,SOC_RMSE,constraint_violation_steps,SOC_corrected_fuel_kg,engine_switch_count
20260706,heldout_evaluation,latent_sac_adapter,-102.27232625984806,0.05856248018051581,0.06245862144411592,1.140625,0.1188664917126712,9.375
20260706,heldout_evaluation,map_rule_zero_offset,-102.58243767901085,0.06002928312160703,0.0630006740507559,1.0625,0.11909808426006377,9.453125
20260706,meta_validation,latent_sac_adapter,-106.74842790093923,0.06564015450964349,0.06560804109948935,0.59375,0.10082220319221005,10.90625
20260706,meta_validation,map_rule_zero_offset,-108.66085817619066,0.06701027217985103,0.0666332030643447,0.5625,0.1007814359949328,10.671875
20260707,heldout_evaluation,latent_sac_adapter,-92.10475729363787,0.04652756309416945,0.05948988003615225,1.09375,0.11265789792547383,9.140625
20260707,heldout_evaluation,map_rule_zero_offset,-94.79076628689887,0.05001192589807173,0.060620828240936085,1.140625,0.11228428704646286,8.734375
20260707,meta_validation,latent_sac_adapter,-78.52459246914697,0.042785273634575245,0.05485450146142787,0.9375,0.11638227740405939,11.28125
20260707,meta_validation,map_rule_zero_offset,-86.4189458178713,0.04673118883014282,0.058276425726301054,0.9375,0.11609318584170912,10.859375
20260708,heldout_evaluation,latent_sac_adapter,-115.20159156745791,0.06080863060590472,0.06652453036232818,1.234375,0.11433731482314448,9.03125
20260708,heldout_evaluation,map_rule_zero_offset,-115.20498396008882,0.06115159073573274,0.0665219139732659,1.21875,0.1142259998040175,9.0625
20260708,meta_validation,latent_sac_adapter,-101.78638393235944,0.05591470501086758,0.062098074080385694,1.09375,0.09672248622046185,10.515625
20260708,meta_validation,map_rule_zero_offset,-99.35990435079583,0.05604279211006769,0.06121170554201358,1.21875,0.09639226254110012,10.375
20260709,heldout_evaluation,latent_sac_adapter,-94.14713289983109,0.05271361759471878,0.05832991903913119,1.5625,0.11395113638239038,8.734375
20260709,heldout_evaluation,map_rule_zero_offset,-93.27236825604122,0.05003784803016946,0.05859977469970239,1.609375,0.11403757093701743,8.640625
20260709,meta_validation,latent_sac_adapter,-88.2857036349058,0.047249811806498634,0.0580969873179316,0.859375,0.11423492023358511,10.625
20260709,meta_validation,map_rule_zero_offset,-93.98034273302282,0.05141071431204344,0.060522472758583565,0.875,0.11400207993574228,10.296875
20260710,heldout_evaluation,latent_sac_adapter,-103.94258192809639,0.050910748727031746,0.06428168795041013,0.71875,0.0995328965519483,7.03125
20260710,heldout_evaluation,map_rule_zero_offset,-99.16144007718471,0.0499587306293403,0.0626791999285016,0.6875,0.09964630789361978,7.1875
20260710,meta_validation,latent_sac_adapter,-97.4050883835726,0.057310584005966926,0.06101061591062439,1.0625,0.13106331705019522,11.8125
20260710,meta_validation,map_rule_zero_offset,-88.98061509322673,0.05102082488636293,0.0582368919914218,1.0,0.13152675147975595,12.203125
