split,metric,mean,std,min,max,n
meta_validation,episode_reward_delta,0.10230904966560783,0.530175714814103,-0.4205919460242042,0.9113974884262876,5
meta_validation,SOC_corrected_fuel_kg_delta,4.75899298928047e-05,5.5411408198627855e-05,-1.4326709949734538e-05,0.00011957175824208523,5
meta_validation,abs_final_SOC_error_delta,-0.00020098210246533542,0.0006119421433260696,-0.0012589273160986385,0.00032790503028709995,5
meta_validation,SOC_RMSE_delta,-0.0003676422159412213,0.0004781629878891464,-0.00099186134903118,2.7703299450030922e-05,5
meta_validation,engine_switch_count_delta,0.03125,0.03125,0.0,0.0625,5
meta_validation,constraint_violation_steps_delta,-0.015625,0.061515686515717274,-0.109375,0.046875,5
heldout_evaluation,episode_reward_delta,0.17030309712456465,0.38685317080003234,-0.2673499494490349,0.7781389791400334,5
heldout_evaluation,SOC_corrected_fuel_kg_delta,7.72993880525591e-05,9.193823178364622e-05,-7.306375921401918e-05,0.0001608793509694845,5
heldout_evaluation,abs_final_SOC_error_delta,-0.0007035503874050278,0.0013795158842128906,-0.00308849284822981,0.0003467873451951254,5
heldout_evaluation,SOC_RMSE_delta,-0.0003398998471360336,0.00046680430658858235,-0.000893273455541288,0.00036691632459318795,5
heldout_evaluation,engine_switch_count_delta,0.03125,0.09631896879639025,-0.09375,0.15625,5
heldout_evaluation,constraint_violation_steps_delta,-0.025,0.046351240544347895,-0.09375,0.03125,5
